,condition,odometer,mmr,sellingprice,income,using_time,difference,selling_year
condition,1.0,-0.5381951099961421,0.4832814236443402,0.5372145358981897,-0.03688888029144198,-0.5471667250102804,0.32175625336115726,0.035002100706216774
odometer,-0.5381951099961421,1.0,-0.5883108186515247,-0.5825026255249164,0.005232410261587061,0.7716353516926845,0.009430151631595402,-0.08439854197371803
mmr,0.4832814236443402,-0.5883108186515247,1.0,0.9837525093391367,-0.010141250883625831,-0.5936747163652474,-0.051477659439161084,0.0717199118465753
sellingprice,0.5372145358981897,-0.5825026255249164,0.9837525093391367,1.0,-0.015739037885929896,-0.5830078155582289,0.12865063574114222,0.0753890757681622
income,-0.03688888029144198,0.005232410261587061,-0.010141250883625831,-0.015739037885929896,1.0,0.03526594559266266,-0.03153342146143939,-0.012202610762126267
using_time,-0.5471667250102804,0.7716353516926845,-0.5936747163652474,-0.5830078155582289,0.03526594559266266,1.0,0.03624149949722534,-0.03878808020442852
difference,0.32175625336115726,0.009430151631595402,-0.051477659439161084,0.12865063574114222,-0.03153342146143939,0.03624149949722534,1.0,0.023200603571207755
selling_year,0.035002100706216774,-0.08439854197371803,0.0717199118465753,0.0753890757681622,-0.012202610762126267,-0.03878808020442852,0.023200603571207755,1.0
