,pc,explained_variance
0,PC 1,0.4374938968370013
1,PC 2,0.14499485574932033
2,PC 3,0.12518266992377047
3,PC 4,0.12398562840123091
4,PC 5,0.09165075414453501
5,PC 6,0.04863471049240301
6,PC 7,0.028057484451739133
7,PC 8,3.5243595623427056e-31
