,condition,odometer,mmr,sellingprice,income,using_time,difference,selling_year,make,body
228573,4.6,62388.0,15800,16100,89090,2,300,2015,Ford,SUV
345879,4.1,61204.0,13900,13900,82750,2,0,2015,Ford,SUV
376006,4.2,29946.0,13050,12600,64520,3,-450,2015,Nissan,Sedan
137871,4.0,22968.0,13250,13800,73100,1,550,2015,Chevrolet,Sedan
211468,4.4,35009.0,11700,11500,57290,1,-200,2015,Ford,Sedan
197041,3.4,117645.0,4100,5100,67090,8,1000,2015,Ford,Sedan
137682,1.9,56602.0,10200,8000,73100,2,-2200,2015,Chevrolet,Sedan
6235,4.3,62114.0,8150,9600,77030,1,1450,2014,Chevrolet,Sedan
203707,2.9,140582.0,3750,3700,57290,7,-50,2015,Chevrolet,Sedan
194758,4.6,3386.0,10550,11100,67090,2,550,2015,Chevrolet,Sedan
391467,3.3,41700.0,23900,24400,65610,4,500,2015,Ford,SUV
547045,2.8,88176.0,1125,2700,81400,14,1575,2015,Ford,Sedan
369521,4.4,15973.0,26800,27300,64520,2,500,2015,Ford,SUV
3900,1.9,95699.0,5350,3700,77030,8,-1650,2014,Nissan,Sedan
165003,4.4,41111.0,14150,14700,73100,2,550,2015,Nissan,SUV
185670,1.9,139325.0,3125,1650,63250,10,-1475,2015,Nissan,Sedan
337273,4.2,25568.0,19200,19250,82750,2,50,2015,Chevrolet,SUV
147268,4.7,13139.0,17600,17000,73100,1,-600,2015,Ford,Sedan
90773,2.4,85627.0,8500,7100,68360,4,-1400,2015,Chevrolet,Sedan
455299,2.0,210632.0,725,500,61490,19,-225,2015,Nissan,Sedan
275108,3.7,35060.0,9275,8100,59100,4,-1175,2015,Nissan,Sedan
488455,3.4,34785.0,10600,10800,73130,3,200,2015,Nissan,Sedan
201849,4.8,24586.0,32400,33200,57290,0,800,2014,Ford,SUV
461800,2.9,57798.0,7675,6300,61490,3,-1375,2015,Nissan,Sedan
502416,3.6,52953.0,10350,10200,80610,2,-150,2015,Chevrolet,Sedan
292525,3.7,36820.0,12550,12300,59100,1,-250,2015,Chevrolet,Sedan
295421,2.0,75392.0,4325,2600,59100,9,-1725,2015,Chevrolet,Sedan
373544,4.2,36248.0,13400,13400,64520,2,0,2015,Chevrolet,Sedan
158370,4.3,8766.0,12150,12400,73100,1,250,2015,Nissan,Sedan
343860,5.0,4770.0,24100,23000,82750,2,-1100,2015,Ford,SUV
391016,4.3,44659.0,13900,13900,65610,2,0,2015,Ford,Sedan
418436,2.6,83860.0,8100,9400,61450,9,1300,2015,Chevrolet,SUV
395359,2.9,62280.0,4200,5700,65610,9,1500,2015,Ford,Sedan
98985,3.5,29844.0,17800,19400,68360,3,1600,2015,Nissan,Sedan
27598,3.9,42356.0,16800,18900,77030,2,2100,2015,Ford,Sedan
66218,3.5,51679.0,10500,10000,77030,3,-500,2015,Nissan,Sedan
109674,1.9,72382.0,8325,7800,68360,4,-525,2015,Nissan,Sedan
426645,1.9,56269.0,9200,5900,61450,4,-3300,2015,Chevrolet,Sedan
98935,4.4,36306.0,12250,14400,68360,3,2150,2015,Nissan,Sedan
27795,3.7,65461.0,9075,8850,77030,3,-225,2015,Chevrolet,Sedan
349535,2.0,194984.0,4050,2650,62960,12,-1400,2015,Chevrolet,SUV
476151,1.9,98162.0,2250,1600,73130,12,-650,2014,Nissan,Sedan
296101,4.4,30376.0,23800,25600,59100,3,1800,2015,Ford,SUV
236570,4.4,37914.0,10200,11200,59100,2,1000,2014,Chevrolet,Sedan
85729,3.8,36687.0,8925,10600,68360,3,1675,2015,Chevrolet,Sedan
260956,3.5,88575.0,11550,11400,59100,2,-150,2015,Ford,SUV
487788,3.5,27712.0,22800,21800,73130,1,-1000,2015,Ford,SUV
306930,4.5,37031.0,16650,17100,59100,3,450,2015,Chevrolet,SUV
506293,4.3,11987.0,12500,10900,80200,1,-1600,2015,Chevrolet,Sedan
162055,4.4,44718.0,13600,15500,73100,3,1900,2015,Nissan,SUV
437715,3.5,86462.0,8675,9200,74430,3,525,2015,Ford,Sedan
347596,3.8,39086.0,11850,12200,82750,2,350,2015,Chevrolet,Sedan
543497,2.9,109187.0,5075,5400,81400,6,325,2015,Chevrolet,Sedan
92800,2.4,166691.0,2400,3400,68360,10,1000,2015,Nissan,Sedan
32920,2.9,57802.0,12100,12000,77030,2,-100,2015,Nissan,Sedan
548962,3.6,102602.0,4650,6500,48460,9,1850,2015,Ford,SUV
44806,4.0,110168.0,6050,6200,77030,3,150,2015,Nissan,Sedan
418679,4.8,18776.0,22800,23600,61450,0,800,2015,Ford,Sedan
296207,3.1,82618.0,6775,6600,59100,4,-175,2015,Nissan,Sedan
293880,4.0,20196.0,10250,10900,59100,1,650,2015,Chevrolet,Sedan
322328,2.0,45282.0,14750,14200,82750,5,-550,2015,Nissan,Sedan
204521,3.0,16968.0,10350,9000,57290,2,-1350,2015,Ford,Sedan
542348,4.2,18648.0,13050,14300,81400,2,1250,2015,Ford,Sedan
372089,4.4,12865.0,18500,18200,64520,3,-300,2015,Ford,SUV
483070,3.9,94055.0,17900,16500,73130,3,-1400,2015,Ford,SUV
526039,4.5,31681.0,26900,27000,70210,2,100,2015,Ford,SUV
336006,4.6,43955.0,11250,10700,82750,3,-550,2015,Ford,Sedan
312951,3.0,142238.0,1875,2000,59100,9,125,2015,Ford,Sedan
496656,4.1,35659.0,16950,19200,73130,3,2250,2015,Nissan,Sedan
202876,4.8,28021.0,17050,17800,57290,1,750,2015,Ford,SUV
493154,2.7,46587.0,10400,10400,73130,2,0,2015,Chevrolet,Sedan
90666,2.4,19617.0,12800,9800,68360,3,-3000,2015,Nissan,Sedan
107968,3.7,24198.0,15150,14000,68360,3,-1150,2015,Nissan,SUV
100158,4.0,40221.0,9925,9900,68360,1,-25,2015,Chevrolet,Sedan
322091,2.9,141808.0,4800,2900,82750,13,-1900,2015,Chevrolet,SUV
84535,3.8,44496.0,9200,8800,68360,2,-400,2015,Chevrolet,Sedan
288128,2.1,42749.0,11950,10200,59100,3,-1750,2015,Nissan,Sedan
139958,4.9,12916.0,11400,12200,73100,2,800,2015,Chevrolet,Sedan
100449,4.7,19182.0,19050,20000,68360,2,950,2015,Chevrolet,SUV
482680,3.0,19972.0,14800,14700,73130,1,-100,2015,Chevrolet,Sedan
386772,2.1,60356.0,15700,14700,65610,3,-1000,2015,Chevrolet,SUV
478802,1.9,141592.0,2675,1600,73130,8,-1075,2015,Chevrolet,Sedan
157252,2.9,52488.0,10150,9100,73100,2,-1050,2015,Chevrolet,Sedan
310299,3.6,35543.0,11550,11000,59100,3,-550,2015,Nissan,Sedan
421957,4.5,27999.0,13200,12900,61450,3,-300,2015,Nissan,Sedan
97111,4.2,105462.0,19350,16500,68360,6,-2850,2015,Chevrolet,SUV
55120,2.7,68957.0,10200,10500,77030,6,300,2015,Chevrolet,SUV
462214,2.4,66105.0,9125,8000,61490,2,-1125,2015,Chevrolet,Sedan
321161,1.9,115300.0,1250,900,82750,13,-350,2014,Ford,Sedan
