,condition,odometer,mmr,sellingprice,using_time
225003,2.6,67402.0,10300,8800,7
238455,2.8,111501.0,3800,3600,8
107597,2.2,105501.0,12750,10500,8
200427,4.1,22286.0,20700,20500,0
124285,3.0,16088.0,11800,12300,1
263799,3.0,19457.0,16600,17100,1
290518,3.0,48224.0,19200,19300,4
25291,3.0,31508.0,10250,10200,3
2143,1.0,33836.0,17650,11200,0
373678,4.3,18452.0,15500,16000,4
495344,4.3,64813.0,16250,16000,3
362246,4.2,97726.0,5075,5350,6
545475,3.8,75739.0,16550,16800,5
144151,3.5,20025.0,16200,16200,2
133181,3.1,64963.0,23600,26500,8
126801,3.0,23869.0,18950,17800,1
2878,2.1,163365.0,4225,3400,5
43723,1.9,175815.0,6675,6700,9
150669,3.6,84931.0,11550,12000,2
264110,2.6,59628.0,13400,13000,5
441822,3.7,36659.0,14200,13800,1
330689,4.3,75758.0,32800,34400,4
114917,1.9,61178.0,9475,7700,2
315493,3.6,81552.0,6600,6600,8
196909,1.0,13226.0,16200,11200,0
70388,3.1,34164.0,13000,13800,2
17327,3.5,21120.0,28600,27000,1
340155,1.9,89861.0,19300,15500,5
355274,4.6,11394.0,14050,15500,1
276336,4.3,25695.0,11400,13000,3
280307,4.2,32400.0,12100,13100,3
268955,3.3,135745.0,3550,3900,9
340279,1.9,115178.0,5250,2800,9
471346,4.9,7789.0,21200,29200,3
241907,3.8,58602.0,6925,7800,7
142913,3.7,158430.0,3450,3600,11
200682,2.0,67812.0,23300,21250,3
227504,2.0,270261.0,875,300,16
289345,2.3,92196.0,9075,7700,4
431854,4.1,15043.0,26300,27500,1
308900,4.2,31539.0,26300,25000,2
193979,5.0,12050.0,36800,36200,1
115765,2.8,116060.0,9650,8600,10
153587,2.3,8502.0,8325,6400,3
440948,2.4,109086.0,11850,12800,7
85806,2.1,181908.0,1425,1500,13
406845,2.8,97675.0,4275,3500,7
309308,1.9,69141.0,8900,7000,8
180123,4.4,10154.0,20600,20400,0
195382,2.9,123494.0,3425,4200,7
281496,3.4,24823.0,20600,19200,3
283838,4.5,12802.0,28200,30800,1
269948,4.0,19068.0,13300,13300,1
228270,2.6,185182.0,875,1150,17
462170,3.9,169621.0,3575,4100,9
493937,3.6,57660.0,9100,9000,4
329995,4.2,24930.0,22400,22900,2
306829,4.2,21206.0,18050,19000,1
487778,5.0,7197.0,27700,27800,1
332291,4.2,14680.0,14150,13300,1
213637,4.8,33173.0,44300,50000,3
6801,3.5,34198.0,17950,18750,5
517729,4.6,25599.0,18800,19900,1
84465,2.5,148632.0,6425,6100,8
271576,3.4,126093.0,5425,4800,5
226877,2.2,55868.0,12050,11700,2
496342,4.0,17105.0,24700,24800,0
197030,2.1,78806.0,4600,4900,8
396287,4.2,89337.0,10550,9600,4
284428,4.2,43687.0,13050,14800,3
117972,2.4,104981.0,4900,4600,9
19910,3.8,19090.0,25100,25500,2
168277,4.6,24349.0,21900,22200,3
378713,3.9,44170.0,14050,14400,3
235174,,137048.0,1800,2900,10
194965,2.8,95034.0,17000,16800,4
153017,3.4,56096.0,8375,7500,8
269870,4.0,15788.0,12550,12600,1
120511,5.0,16626.0,31500,30000,0
192212,3.3,36106.0,9150,7800,5
514308,4.2,13910.0,11400,11500,2
497419,4.4,34554.0,21100,20500,1
170648,4.1,18747.0,18600,17500,2
251413,2.5,101923.0,4900,4500,10
453661,2.9,115477.0,7500,7500,8
533842,3.6,128465.0,6300,8300,5
539760,1.0,1.0,15900,5800,0
426531,4.6,20165.0,23400,23000,2
468882,3.9,16323.0,16700,16200,1
183671,3.1,96056.0,16150,17900,7
495198,3.6,25490.0,15550,15600,3
222813,2.0,1.0,1950,275,15
138677,1.9,169242.0,1675,1300,10
143538,3.8,36004.0,22000,22500,4
396063,2.4,75956.0,2075,2500,12
387927,3.7,77479.0,26900,27400,4
432937,2.3,112678.0,4600,3900,8
93516,3.7,62706.0,15500,17000,5
473590,3.0,132649.0,3900,4700,7
370627,3.9,82601.0,4775,6900,9
162298,2.4,21938.0,12100,10500,3
240496,3.2,72743.0,13600,13600,6
430062,3.5,70799.0,12600,12900,3
10190,4.5,16554.0,15000,13000,2
391760,1.9,133903.0,1875,1600,13
327583,1.0,167145.0,1275,1700,13
28617,2.1,50061.0,19300,17600,3
89092,3.4,73326.0,10650,10500,3
6897,2.5,78455.0,7450,8250,7
428508,2.9,52850.0,8675,8301,2
114163,4.3,49730.0,8825,9600,3
276748,4.0,15339.0,10800,11300,1
239899,2.2,62621.0,7850,6000,2
497695,4.1,27874.0,16650,20300,2
499937,3.5,12202.0,28900,28400,1
219480,3.9,75454.0,8075,9100,6
282697,5.0,3313.0,31500,28400,1
381293,4.6,18767.0,13900,14600,2
537635,1.9,181936.0,2000,1500,8
250426,2.1,132210.0,8950,9200,8
474189,2.6,56580.0,11250,11700,4
122773,3.3,85703.0,16100,17700,7
242847,2.8,117240.0,4700,3400,6
234458,4.1,24075.0,24200,25800,0
99691,2.7,156731.0,650,500,15
86780,2.0,264908.0,3725,3100,10
126081,2.1,40981.0,19000,17900,3
514172,4.4,109995.0,13350,12900,7
280089,4.7,69368.0,15750,15900,3
419559,4.2,39066.0,14400,15000,3
93059,3.1,53729.0,12400,13700,2
48785,1.9,119736.0,2900,2350,15
47,3.4,40661.0,13050,13000,1
289862,1.9,90988.0,7700,5700,8
488319,2.0,70797.0,1200,1600,11
119802,3.5,81654.0,14500,14700,4
484059,3.7,43560.0,12550,12200,3
50158,2.4,201589.0,1000,2000,17
448305,3.1,140285.0,14850,16000,8
26245,3.5,127520.0,3200,3100,13
522687,5.0,5063.0,17750,18200,1
155275,4.1,100279.0,7175,9700,7
335996,2.4,23125.0,12650,11000,3
122877,2.2,34278.0,15450,15300,1
325293,3.6,45996.0,22100,21800,3
7699,,134736.0,1250,1800,15
181592,4.1,33714.0,14900,15600,3
221695,4.5,22208.0,20700,21400,1
254989,4.9,7649.0,82000,82500,1
527625,1.9,16941.0,22100,18000,2
543241,3.5,94145.0,17850,15500,4
360386,3.5,23636.0,25200,25500,2
322761,4.5,18537.0,28700,29000,1
539724,3.8,61845.0,6875,7500,6
474554,4.0,88078.0,8025,8800,8
511930,2.4,120238.0,3050,3000,8
42317,4.2,68661.0,13650,16000,4
279036,2.0,170096.0,8700,5100,7
214582,2.8,55005.0,10000,10100,2
55416,1.9,147385.0,3450,3300,10
254643,2.3,27355.0,8925,7600,2
519847,3.4,44782.0,14750,16100,2
259967,3.5,102780.0,6125,6200,6
244251,1.9,209918.0,2600,2500,10
528435,3.7,105280.0,9450,9000,7
439407,2.0,130263.0,2150,900,16
382765,4.8,109824.0,6425,8000,8
249138,2.6,193607.0,9125,9500,6
63500,2.0,8640.0,22400,5100,0
14378,3.8,84856.0,8025,9500,8
463929,3.8,82334.0,8450,9100,3
467956,2.9,56772.0,11300,11300,2
496030,4.0,27833.0,32200,32300,1
86030,2.0,203764.0,3350,4800,9
2455,2.8,44208.0,10900,10400,3
